definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,jlpt_level,lesson_codes,tags,id,row_num,date_added
international student; foreign exchange student,留学生,りゅうがくせい,,留学生,NOUN,,,"{DUO_02_05,GENKI3_L01}",{school},efe5fea4-0476-5328-bd18-2a469a8b6c3e,24,2022-04-24
teacher; professor,先生,せんせい,,先生,NOUN,,,{GENKI3_L01},{school},c21b42a5-1ef1-51cf-9402-199d2b562a47,25,2022-04-24
...year student,〜年生,〜ねんせい,,〜年生,NOUN,,,"{DUO_02_05,GENKI3_L01}",{school},057a7cd1-f1a6-50e2-8449-3b6f04c67305,26,2022-04-24
major,専攻,せんこう,,専攻,NOUN,,,{GENKI3_L01},{school},e71aac30-c949-5b47-b118-d02a5d703701,27,2022-04-24
I,私,わたし,,私,NOUN,,,"{DUO_01_02,GENKI3_L01}",{person},4b1d8b7f-6477-5881-9439-1a7f30b26c9d,28,2022-04-24
friend,友達,ともだち,,友達,NOUN,,,{GENKI3_L01},{person},f65b93fb-1086-5405-8163-394db3e83014,29,2022-04-24
Mr./Ms.,〜さん,〜さん,,,NOUN,,,{GENKI3_L01},{person},c26e8356-f73a-5ddf-b045-432580c37468,30,2022-04-24
...people,〜人,〜じん,,〜人,NOUN,,,{GENKI3_L01},{person},0ef6972f-5e7d-5b51-be7f-8f39a5fd5e0e,31,2022-04-24
of course,もちろん,もちろん,,勿論,ADVERB,,,{DUO_02_03},,146b7705-d9cd-511f-988c-5b2cc7661b75,32,2022-04-24
office,会社,かいしゃ,,会社,NOUN,,,{DUO_02_03},{place},8bedfb60-1599-58b0-9568-5e72b8cf6b7e,33,2022-04-24
school,学校,がっこう,,学校,NOUN,,,{DUO_02_03},"{place,school}",25f93b07-dc04-553a-8794-329cc907dbe5,34,2022-04-24
elementary school,小学,しょうがく,,小学,NOUN,,,{DUO_02_05},"{place,school}",37eba762-70cf-5c5c-b689-621f26c1ee5f,35,2022-04-24
middle school,中学,ちゅうがく,,中学,NOUN,,,{DUO_02_05},"{place,school}",99cdf9f9-df8c-5d7a-9ea1-a7c003c9f289,36,2022-04-24
foreigner,外国人,外国人,,外国人,NOUN,,,{DUO_02_05},{person},947e6f87-e4fe-5b27-9bd3-215e8b1fc71a,37,2022-04-24
to live; to reside; to hinhabit,住む,すむ,,住む,VERB,GODAN_VERB,,{DUO_02_05},,dd191fac-e29b-5262-b2a6-f9f2875a4a3f,38,2022-04-24
Kyoto,京都,きょうと,,京都,PROPER_NOUN,,,"{DUO_02_05,GENKI3_L03}","{city,place}",fc82f2ac-3b17-582f-9259-7200e1430824,39,2022-04-24
Osaka,大阪,おおさか,,大阪,PROPER_NOUN,,,{DUO_02_05},"{city,place}",15c5fee6-dda7-5d40-b7fd-382d97a28b9c,40,2022-04-24
Tokyo,東京,とおきょう,,東京,PROPER_NOUN,,,{DUO_02_05},"{city,place}",39458010-a5eb-5b13-b054-4cc458702c56,41,2022-04-24
to say; to be called; name,申す,もうす,,申す,VERB,GODAN_VERB,,{DUO_02_05},,091d6d9c-5d19-51f5-bc28-3b5281042464,42,2022-04-24
That is not right,違います,ちがいます,,違います,EXPRESSION,,,{DUO_02_05},,6e44df4a-4366-5c1a-86af-87a4e5f61fc6,43,2022-04-24
What is the difference?,違いは何ですか,ちがいはなんですか,,違いは何ですか,EXPRESSION,,,{DUO_02_05},,7748dd60-2126-5e30-a5b6-39596a0e25e4,44,2022-04-24
Now,今,いま,,今,NOUN,,,"{DUO_02_02,GENKI3_L01}",{time},dce3fe6a-497c-54b2-a121-df6767084258,45,2022-04-24
A.M.,午前,ごぜん,,午前,NOUN,,,"{DUO_02_03,GENKI3_L01}",{time},42ffdbae-c27d-53a4-b113-95583953e16c,46,2022-04-24
P.M.,午後,ごご,,午後,NOUN,,,"{DUO_02_03,GENKI3_L01}",{time},94611381-0488-58aa-8cf2-12ad9ff4e2dd,47,2022-04-24
...o'clock,〜時,〜じ,,〜時,NOUN,,,"{DUO_02_02,GENKI3_L01}",{time},40502e18-b4ba-50b4-89b7-23fd3b4d4a21,48,2022-04-24
half; half-past,半,はん,,半,NOUN,,,"{DUO_02_02,GENKI3_L01}",{time},5372b023-b803-551c-9a7f-f404804f63f1,49,2022-04-24
...minutes,~分,〜ぷん,,~分,NOUN,,,{DUO_02_02},{time},2cf1d32f-b261-5ba6-829c-a9f1237a88d6,50,2022-04-24
approximately,〜ごろ,〜ごろ,,頃,NOUN,,,{DUO_02_03},{time},a39e794c-9682-5cd5-9c5e-dd961aa92bc5,51,2022-04-24
exactly,ちょうど,ちょうど,,丁度,NOUN,,,{DUO_02_02},{time},9e67a677-9058-536e-85d6-389ea5138c86,52,2022-04-24
zero,零,れい,,零,NOUN,,,{DUO_02_03},"{number,time}",252852aa-aefd-504b-b671-668a33020492,53,2022-04-24
Japan,日本,にほん,,日本,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",cc6a4913-6f39-521b-a0cf-9631f640800e,54,2022-04-24
America,アメリカ,あめりか,,,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",522e0796-297d-5bf2-be85-e93596baa6bf,55,2022-04-24
...language,〜語,〜ご,,〜語,NOUN,,,{GENKI3_L01},,a420a37b-593e-572e-aae7-d724eca6803d,56,2022-04-24
...years old,〜歳,〜さい,,〜歳,NOUN,,,{GENKI3_L01},,c59169cb-e5ad-5311-a9ce-43764a5ddda6,57,2022-04-24
telephone,電話,でんわ,,電話,NOUN,,,{GENKI3_L01},,1731f988-dcfb-5b31-bda9-c8988a5711bf,58,2022-04-24
number (in a series),〜番,〜ばん,,〜番,NOUN,,,{GENKI3_L01},,f6524cfb-fa66-56ae-ae4c-0e38a8b6e54c,59,2022-04-24
number,番号,ばんごう,,番号,NOUN,,,{GENKI3_L01},,d8f98686-282e-5c5f-88b2-4e046e707e54,60,2022-04-24
name,名前,なまえ,,名前,NOUN,,,{GENKI3_L01},,728f5a87-3848-5450-a941-f9cd0f898067,61,2022-04-24
what,何,なに,なん,何,INTERJECTION,,,{GENKI3_L01},,507092ff-6dc3-5749-a9c3-79ba8d2bc360,62,2022-04-24
um...,あのう,あのう,,,EXPRESSION,,,{GENKI3_L01},,84e857b9-5605-51fb-bfb3-8cc08eb579d3,63,2022-04-24
yes,はい,はい,,,INTERJECTION,,,{GENKI3_L01},,dde2be42-c934-53fc-9dc6-3ce12b727924,64,2022-04-24
no,いいえ,いいえ,,,INTERJECTION,,,{GENKI3_L01},,0428342a-6b57-5e6f-b1c6-4aa6ccfdb267,65,2022-04-24
that is so;  that is right,そうです,そうです,,,EXPRESSION,,,{GENKI3_L01},,a48cfff2-551b-5525-bf29-f706571e7e15,66,2022-04-24
i see; is that so?,そうですか,そうですか,,,EXPRESSION,,,{GENKI3_L01},,311cf3c0-5798-551b-a933-eb33c4ce7843,67,2022-04-24
England,イギリス,いぎりす,,,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",40483fe8-7fda-56b7-b28b-eedb9da50a52,68,2022-04-24
Australia,オーストラリア,おおすとらりあ,,,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",2a0ff39c-471b-56d1-a2b2-39f20596f70c,69,2022-04-24
Korea,韓国,かんこく,,韓国,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",5cb08712-5c04-56f0-aaf6-a8e76a1e0ef4,70,2022-04-24
Canada,カナダ,かなだ,,,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",b4a146e5-f483-50d5-8b18-ca71fdb3f570,71,2022-04-24
China,中国,ちゅうごく,,中国,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",54ca6cf2-c9f0-5a77-b53c-8e4a2fbe76ac,72,2022-04-24
India,インド,いんど,,,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",f3f3ba33-de3b-5fa1-9b99-eee62ae2e024,73,2022-04-24
Egypt,エジプト,いじぷと,,,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",eb20360e-5c1a-58b8-9bf8-040795c5bf0a,74,2022-04-24
Philipines,フィリビン,ふぃりぴん,,,PROPER_NOUN,,,{GENKI3_L01},"{country,place}",ae144a7c-293f-5f24-81ee-37d5594d6aed,75,2022-04-24
Asian Studies,アジア研究,あじあけんきゅう,,アジア研究,NOUN,,,{GENKI3_L01},{school_major},abd1e50d-f284-5a21-831f-344cb338414e,76,2022-04-24
economics,経済,けいざい,,経済,NOUN,,,{GENKI3_L01},{school_major},13912d04-d947-5c72-a192-740c19a28c86,77,2022-04-24
engineering,工学,こうがく,,工学,NOUN,,,{GENKI3_L01},{school_major},7672ef18-d91f-548f-a938-970d6a741586,78,2022-04-24
international relations,国際関係,こくさいかんけい,,国際関係,NOUN,,,{GENKI3_L01},{school_major},471eeab4-7852-53f9-ba6c-342f13746958,79,2022-04-24
computer; computer science,コンピューター,こんぴゅうたあ,,,NOUN,,,{GENKI3_L01},{school_major},9e62feab-62dc-5faf-92d9-8cd423af7dab,80,2022-04-24
politics; government,政治,せいじ,,政治,NOUN,,,{GENKI3_L01},{school_major},15b8fb86-6025-524c-a968-0d8e442c0d8e,81,2022-04-24
biology,生物学,せいぶつがく,,生物学,NOUN,,,{GENKI3_L01},{school_major},ee82d23f-991e-59ba-9646-d407d35b46ae,82,2022-04-24
business,ビジネス,びじねす,,,NOUN,,,{GENKI3_L01},{school_major},a74f0164-da3d-59dc-bbd0-39cf065ee813,83,2022-04-24
literature,文学,ぶんがく,,文学,NOUN,,,{GENKI3_L01},{school_major},f41b3958-7c0c-5c05-9ea8-d0099b014f0c,84,2022-04-24
history,歴史,れきし,,歴史,NOUN,,,{GENKI3_L01},{school_major},0d91d253-e394-572c-a6c4-37e20ed0f603,85,2022-04-24
physics,物理,ぶつり,,物理,NOUN,,,{GENKI3_L01},{school_major},a9d318d5-97e8-5990-916c-fd300d951e2c,86,2022-04-24
doctor,医者,いしゃ,,医者,NOUN,,,{GENKI3_L01},{occupation},45983eaf-745d-5a47-bd34-aa09444736a4,87,2022-04-24
office worker,会社員,かいしゃいん,,会社員,NOUN,,,{GENKI3_L01},{occupation},b01b2de0-f80a-587a-99bb-8e7e2157feec,88,2022-04-24
nurse,看護師,かんごし,,看護師,NOUN,,,{GENKI3_L01},{occupation},a2bb0866-9ce3-5b9a-bc60-49b48a40e40f,89,2022-04-24
high school student,高校生,こうこうせい,,高校生,NOUN,,,{GENKI3_L01},{occupation},c511ec54-4f00-5426-89ef-ee1558ccfb60,90,2022-04-24
housewife,主婦,しゅふ,,主婦,NOUN,,,{GENKI3_L01},{occupation},7d3f6d4b-fd98-5a19-ba56-b7c707092305,91,2022-04-24
graduate student,大学院生,だいがくいんせい,,大学院生,NOUN,,,{GENKI3_L01},{occupation},98e48ea2-8566-55a1-bfb8-d5aaf1a060d0,92,2022-04-24
lawyer,弁護士,べんごし,,弁護士,NOUN,,,{GENKI3_L01},{occupation},902b7ccb-091c-502b-a413-5a3a38c655a4,93,2022-04-24
mother,お母さん,おかあさん,,お母さん,NOUN,,,{GENKI3_L01},{family},f8d03abe-255a-5717-811a-91f511c39759,94,2022-04-24
father,お父さん,お父さん,,お父さん,NOUN,,,"{DUO_02_07,GENKI3_L01}",{family},d7a063c8-998c-50a3-825c-86f896a5a0c7,95,2022-04-24
older sister,お姉さん,おねえさん,,お姉さん,NOUN,,,"{DUO_02_07,GENKI3_L01}",{family},e09e6607-0754-53e7-ac90-7d5eec6a3442,96,2022-04-24
older brother,お兄さん,おにいさん,,お兄さん,NOUN,,,"{DUO_02_07,GENKI3_L01}",{family},942ce296-4fdd-5a7d-9c2c-53d4c2ae2de7,97,2022-04-24
younger sister,妹,いもうと,,妹,NOUN,,,"{DUO_02_07,GENKI3_L01}",{family},d4387364-3f1c-51be-9762-ddf41f844fb7,98,2022-04-24
younger brother,弟,おとうと,,弟,NOUN,,,"{DUO_02_07,GENKI3_L01}",{family},acc5e753-294b-571f-9ee7-a7cd6eeea235,99,2022-04-24
sisters,姉妹,しまい,,姉妹,NOUN,,,{DUO_02_07},{family},dc17e988-29c0-4adf-8ae2-b9c763a53811,100,2022-08-08
brothers,兄弟,きょうだい,,兄弟,NOUN,,,{DUO_02_07},{family},39d87517-fc60-4158-83ee-97a62168dfb3,101,2022-08-08
this one,これ,これ,,,PRONOUN,,,"{DUO_02_01,GENKI3_L02}",{pointing_word},58ecba76-692b-5baf-a096-62bf3e752da2,102,2022-05-30
that one,それ,それ,,,PRONOUN,,,"{DUO_02_01,GENKI3_L02}",{pointing_word},8373ee97-fb02-5fa4-9f3a-e6d0bfe42042,103,2022-05-30
that one over there,あれ,あれ,,,PRONOUN,,,"{DUO_02_01,GENKI3_L02}",{pointing_word},e3286acb-a31b-5fb6-9c16-28ac16fcc269,104,2022-05-30
which one,どれ,どれ,,,PRONOUN,,,"{DUO_02_01,GENKI3_L02}",{pointing_word},9ef8e062-db86-5059-82be-ccc85580d5e7,105,2022-05-30
this...,この〜,この〜,,,PRONOUN,,,{GENKI3_L02},{pointing_word},430b4ea9-6092-52c7-b2bf-4300de6196c7,106,2022-05-30
that...,その〜,その〜,,,PRONOUN,,,{GENKI3_L02},{pointing_word},9d9f54be-2a19-5147-8935-e7c3c887fa03,107,2022-05-30
that... over there,あの〜,あの〜,,,PRONOUN,,,{GENKI3_L02},{pointing_word},908efe1a-b6e9-55d5-b550-461cea175af4,108,2022-05-30
which....,どの〜,どの〜,,,PRONOUN,,,{GENKI3_L02},{pointing_word},a9b7cffc-2d14-58ae-818b-3ac3b6e6e4d0,109,2022-05-30
here,ここ,ここ,,,PRONOUN,,,{GENKI3_L02},{pointing_word},9c591bfa-c4a7-5263-b2b1-7c8d14e10c34,110,2022-05-30
there,そこ,そこ,,,PRONOUN,,,{GENKI3_L02},{pointing_word},0279527b-c398-5856-aad3-11b834907f56,111,2022-05-30
over there,あそこ,あそこ,,,PRONOUN,,,{GENKI3_L02},{pointing_word},5587745e-e524-5159-8fe6-1e8637b90455,112,2022-05-30
where,どこ,どこ,,,PRONOUN,,,{GENKI3_L02},{pointing_word},1502a2cb-059c-5a9f-baab-af68a0d09ac8,113,2022-05-30
who,誰,だれ,,誰,PRONOUN,,,"{DUO_02_07,GENKI3_L02}",{pointing_word},93eaf294-a292-5980-b17e-de43755335c9,114,2022-05-30
delicious,おいし,おいし,,美味しい,ADJECTIVE,I_ADJECTIVE,,{GENKI3_L02},{food},f5fce96d-2982-5d7a-b7ce-9dc8914c6ab3,115,2022-05-30
delicious! (slang),うまい,うまい,,上手い,ADJECTIVE,I_ADJECTIVE,,{GENKI3_L02},{food},10a5183d-9b5d-58c7-885f-0210e56c1dca,116,2022-05-30
fish,魚,魚,,魚,NOUN,,,{DUO_02_01},{food},f7aa023d-a413-562b-bf45-75367462a4b2,117,2022-05-30
pork cutlet,とんかつ,とんかつ,,豚カツ,NOUN,,,{GENKI3_L02},{food},81b8f353-cd1c-53e4-a0f4-1630c490c959,118,2022-05-30
pork bone (e.g. ramen broth),豚骨,とんこつ,,豚骨,NOUN,,,{GENKI3_L02},{food},e2c0e2f3-891a-55e3-ad28-285669d27287,119,2022-05-30
meat,肉,肉,,肉,NOUN,,,"{DUO_02_01,GENKI3_L02}",{food},2dd4acb2-11ca-50c5-b365-c22616ea316d,120,2022-05-30
menu,メニュー,めにゅう,,,NOUN,,,{GENKI3_L02},{food},3ab19c55-4c6a-53e0-afce-41968363d92a,121,2022-05-30
vegetables,野菜,やさい,,野菜,NOUN,,,"{DUO_02_01,GENKI3_L02}",{food},496222cc-1cb3-50c8-9e7e-bbc7d327b78c,122,2022-05-30
rice,ご飯,ごはん,,ご飯,NOUN,,,"{DUO_02_01,GENKI3_L04}",{food},4fbc0a01-e32a-5449-8efe-3ae37aee4f2f,123,2022-05-30
bread,パン,ぱん,,,NOUN,,,"{DUO_02_01,GENKI3_L04}",{food},b74ca7fa-4622-5a52-b9df-5260878e687b,124,2022-05-30
egg,卵,たまご,,卵,NOUN,,,{DUO_02_06},{food},5e2b2d0d-7461-56e2-a151-9a10375d5615,125,2022-05-30
apple,りんご,りんご,,林檎,NOUN,,,{DUO_02_06},{food},12c11165-7996-5b13-bf19-c3afc419afb2,126,2022-05-30
counter for hito-futa-mi system,〜つ,〜つ,,,COUNTER,,,{DUO_02_06},,1cf2249c-7785-424d-9a67-1c3ff6253938,127,2022-05-30
counter for round and clustered items,〜個,〜こ,,〜個,COUNTER,,,{DUO_02_06},,cab23f18-7b88-4262-956c-d31a0e829cbf,128,2022-05-30
umbrella,傘,かさ,,傘,NOUN,,,{GENKI3_L02},{things},b1852be8-7a0e-5541-b94d-29be625cb423,129,2022-05-30
bag,かばん,かばん,,鞄,NOUN,,,{GENKI3_L02},{things},b5d661b7-f275-5647-a86b-cf4bd963f512,130,2022-05-30
shoes,靴,くつ,,靴,NOUN,,,{GENKI3_L02},{things},96fb26f0-20df-51e0-b1c4-793ab736c2d9,131,2022-05-30
wallet,財布,さいふ,,財布,NOUN,,,{GENKI3_L02},{things},b802b5a4-5804-5f5a-a193-e475bceaf5dd,132,2022-05-30
jeans,ジーンズ,ジーンズ,,,NOUN,,,{GENKI3_L02},{things},bf5e0762-effe-5d38-8786-503cde98e504,133,2022-05-30
bicycle,自転車,じてんしゃ,,自転車,NOUN,,,{GENKI3_L02},{things},04bddd51-0749-5efe-9946-6d326f61bcb6,134,2022-05-30
newspaper,新聞,しんぶん,,新聞,NOUN,,,{GENKI3_L02},{things},f8a3e40d-f42e-5ba2-995d-3abc33e63a41,135,2022-05-30
smart phone,スマホ,スマホ,,,NOUN,,,{GENKI3_L02},{things},e7323b54-9fa5-5cb7-8d68-d2ebe9b379ea,136,2022-05-30
t-shirt,Ｔシャツ,ていいしゃつ,,,NOUN,,,{GENKI3_L02},{things},1a0585e5-3bd0-5903-90cc-d3381778da68,137,2022-05-30
clock,時計,時計,,時計,NOUN,,,{GENKI3_L02},{things},1c5e45ac-cc4a-5d53-b566-d6d832828ba0,138,2022-05-30
notebook,ノート,ノート,,,NOUN,,,{GENKI3_L02},{things},612eac67-3ec3-535e-94a3-249d60f51046,139,2022-05-30
pen,ペン,ペン,,,NOUN,,,{GENKI3_L02},{things},442d1c8e-a848-5fa4-8fc9-d398441b4b65,140,2022-05-30
hat; cap,帽子,ぼうし,,帽子,NOUN,,,{GENKI3_L02},{things},5f6cc5c3-6625-5caa-9277-f43493360fc2,141,2022-05-30
book,本,ほん,,本,NOUN,,,{GENKI3_L02},{things},6d055f49-622a-5d8a-a7d2-11de3279b9ce,142,2022-05-30
bank,銀行,ぎんこう,,銀行,NOUN,,,{GENKI3_L02},{place},3a52dad1-de68-523b-b6ad-3148496bcf8e,143,2022-05-30
convenience store,コンビニ,コンビニ,,,NOUN,,,{GENKI3_L02},{place},6c108fe0-b52d-56de-96f2-f8e0bf450367,144,2022-05-30
toilet; restroom,トイレ,トイレ,,,NOUN,,,{GENKI3_L02},{place},14edc8de-8ed3-58f5-a083-13a34db6f490,145,2022-05-30
libaary,図書館,としょかん,,図書館,NOUN,,,{GENKI3_L02},{place},dd52de46-6d78-5bc3-96ab-b25e9be9e291,146,2022-05-30
post office,郵便局,ゆうびんきょく,,郵便局,NOUN,,,{GENKI3_L02},{place},89b553be-905d-57aa-946c-86dc9f366aa2,147,2022-05-30
how much,いくら,いくら,,幾ら,ADVERB,,,{GENKI3_L02},{money},f7d4fade-03e1-53e3-94c0-24034e6a9e08,148,2022-05-30
...yen,〜円,〜えん,,〜円,NOUN,,,{GENKI3_L02},{money},fbae6594-96c7-53f0-a80b-bd325d5a22ff,149,2022-05-30
expensive; high,高い,たかい,,高い,ADJECTIVE,I_ADJECTIVE,,{GENKI3_L02},{money},dcb08e4f-eb7c-5536-bd57-ee51127a14be,150,2022-05-30
welcome,いらっしゃいませ,いらっしゃいませ,,,EXPRESSION,,,{GENKI3_L02},,1cee44df-fc33-5279-8d09-5051e714782f,151,2022-05-30
...please,〜お願いします,〜おねがいします,,〜お願いします,EXPRESSION,,,{GENKI3_L02},,845d24c6-6c7c-50f4-8dd7-450485839fa5,152,2022-05-30
please give me...,〜ください,〜ください,,,EXPRESSION,,,"{DUO_02_01,GENKI3_L02}",,fc6be215-8cf3-55b8-8a6b-0dd345852963,153,2022-05-30
then...; if that is the case...,じゃあ,じゃあ,,,EXPRESSION,,,{GENKI3_L02},,3bb29baa-6e40-5c58-93cd-2000ea1120eb,154,2022-05-30
here it is; please go ahead; i beg of you,とおぞ,とおぞ,,,EXPRESSION,,,{GENKI3_L02},,8dc54b41-91cb-5289-bb0b-5f4a5854fea7,155,2022-05-30
thanks (casual),どうも,どうも,,,EXPRESSION,,,{GENKI3_L02},,5891a34d-ba0a-5458-b42e-f82c60d27f9f,156,2022-05-30
zero,ゼロ,ゼロ,,,NOUN,,,{GENKI3_L02},{number},48b8587c-d363-5b54-94d9-c9e5dfff2412,157,2022-05-30
one,一,いち,,一,NOUN,,,{GENKI3_L02},{number},c007b505-323f-5517-8353-ed093d1571de,158,2022-05-30
two,二,に,,二,NOUN,,,{GENKI3_L02},{number},8873834d-7358-505d-a93b-7782dbd00024,159,2022-05-30
three,三,さん,,三,NOUN,,,{GENKI3_L02},{number},0f9e7c25-4cfa-5186-a893-0f59b7e34745,160,2022-05-30
four,四,よん,し,四,NOUN,,,{GENKI3_L02},{number},59d58d35-f0f2-5535-8404-8cb786e2c830,161,2022-05-30
five,ご,ご,,,NOUN,,,{GENKI3_L02},{number},82339058-2123-58a8-93dc-b1c0b05cdae8,162,2022-05-30
six,六,六,,六,NOUN,,,{GENKI3_L02},{number},e469a7d8-cfad-5a85-ba5c-cb1d0c8ca1b0,163,2022-05-30
seven,七,なな,しち,七,NOUN,,,{GENKI3_L02},{number},49ab0509-4a86-552d-975b-fc49e74790d4,164,2022-05-30
eight,八,はち,,八,NOUN,,,{GENKI3_L02},{number},6d9b3812-644e-5890-94cc-09a2fd01a30a,165,2022-05-30
nine,九,きゅう,,九,NOUN,,,{GENKI3_L02},{number},aaf16bcd-1ecc-5f72-97a6-497825719aba,166,2022-05-30
ten,十,じゅう,,十,NOUN,,,{GENKI3_L02},{number},e05ed6a4-edcb-5052-9760-1e10c70c2236,167,2022-05-30
hundred,百,ひゃく,,百,NOUN,,,{GENKI3_L03},{number},0f06fb63-c508-57a2-8983-2cb9f5dfd2e7,168,2022-07-24
thousand,千,せん,,千,NOUN,,,{GENKI3_L03},{number},662aaf34-2fd3-5ab7-ad40-ee6e4862fc2c,169,2022-07-24
ten-thousand,万,まん,,万,NOUN,,,{GENKI3_L03},{number},06eedaf7-2c40-54e4-a1ea-669b265fda8d,170,2022-07-24
movie,映画,えいが,,映画,NOUN,,,{GENKI3_L03},{entertainment},b82fa253-fbb7-559c-b127-77d2262df800,171,2022-07-24
music,音楽,おんがく,,音楽,NOUN,,,{GENKI3_L03},{entertainment},aa05a718-c2a5-5083-9c3d-b0e4d1bd09a8,172,2022-07-24
magazine,雑誌,ざっし,,雑誌,NOUN,,,{GENKI3_L03},{entertainment},3bef2c81-886b-5bbd-9f1b-dfc94288bea2,173,2022-07-24
sports,スポーツ,スポーツ,,,NOUN,,,{GENKI3_L03},{entertainment},bbf5a302-a23c-5142-b721-2aa90ff1e8dc,174,2022-07-24
date (romantic),デート,デート,,,NOUN,,,{GENKI3_L03},{entertainment},738002f3-36da-5668-8a8b-46415de8cd52,175,2022-07-24
tennis,テニス,テニス,,,NOUN,,,{GENKI3_L03},{entertainment},8f790b97-9843-5efe-b338-e1c37618c616,176,2022-07-24
TV,テレビ,テレビ,,,NOUN,,,{GENKI3_L03},{entertainment},5ca8a07b-ac34-5789-ab4a-8bd29d51929c,177,2022-07-24
