definition,preferred_spelling,phonetic_spelling,alt_phon_spell,kanji_spelling,word_class_code,conjugation_kind_code,transitivity,jlpt_level,lesson_codes,tags,id,row_num,date_added
we (male casual),僕ら,ぼくら,,僕ら,PRONOUN,,,,,,e2a94266-387e-5b7d-8fb2-fe52967f09a8,285,2022-09-17
we (casual),私たち,わたしたち,,私たち,PRONOUN,,,,{GENKI3_L14},,d76d62e1-99d0-5dc4-b8c5-4060a40be4e4,286,2022-09-17
"we (formal, written)",我々,われわれ,,我々,PRONOUN,,,3,,,cb3a6f64-b0e8-5736-aae1-9088a0af6eb1,287,2022-09-17
mountain,山,やま,,山,NOUN,,,5,"{LULI_KANJI_L01,GENKI3_L11}",,2037e05e-e3cc-56d5-b966-458046cfb035,288,2022-08-12
river,川,かわ,,川,NOUN,,,5,"{LULI_KANJI_L01,GENKI3_L11}",,963e3282-5c51-588f-9dac-d5226e182f10,289,2022-08-12
flame (blaze); flame (of passion),炎,ほのお,ほむら,炎,NOUN,,,3,,,2e1d445c-bc7c-558d-9eb4-c97cdb6f5898,290,2022-08-12
fire,火,ひ,,火,NOUN,,,3,{LULI_KANJI_L01},,047bba20-3388-59ec-b67c-97aeb0d3c257,291,2022-08-12
man; male,男,おとこ,,男,NOUN,,,,{LULI_KANJI_L01},,9a991eae-f1be-5494-a018-23249ea18b15,292,2022-08-12
woman; female,女,おんあ,,女,NOUN,,,,{LULI_KANJI_L01},,d74412ce-8367-5c45-919d-4d992829de66,293,2022-08-12
child; kid,〜子,〜こ,,〜子,SUFFIX,,,4,{LULI_KANJI_L01},,865bd41e-4912-5b3b-97e2-d7bb548ebc54,294,2022-08-15
"confections, sweets, candy, cake",お菓子,おかし,,お菓子,NOUN,,,5,{GENKI3_L11},,6e4a003e-4cc6-5fb4-bd16-99b201631b2b,295,2022-08-15
(hard) candy,飴,あめ,,飴,NOUN,,,5,,,6437fff2-42a0-5909-9bf4-68dd05303d0f,296,2022-08-15
rain,雨,あめ,,雨,NOUN,,,5,"{LULI_KANJI_L01,GENKI3_L08}",{weather},38a615c6-b9b1-5a56-8df9-f32d3423f0e2,297,2022-08-15
sky (physical),空,そら,,空,NOUN,,,5,{LULI_KANJI_L01},{weather},a29a3d3c-77a8-51db-98a4-020a58c0c9fa,298,2022-08-15
heavans; sky (spiritual),天,てん,,天,NOUN,,,5,{LULI_KANJI_L01},{weather},ccb7a98d-7140-5e41-ac65-a7116f9f96f3,299,2022-08-15
soil; earth,土,つち,,土,NOUN,,,3,{LULI_KANJI_L01},,356c71d3-c158-58cf-a42d-7efab762472b,300,2022-08-15
ground; land; territory,地,ち,,地,NOUN,,,3,{LULI_KANJI_L01},,b05a993b-f894-5720-a08d-031191ad57e5,301,2022-08-15
north,北,きた,,北,NOUN,,,5,{LULI_KANJI_L01},{compass_direction},11d88f21-b92c-524a-a750-e3b3eb5db233,302,2022-08-15
south,南,みなみ,,南,NOUN,,,5,{LULI_KANJI_L01},{compass_direction},787954e6-c587-5148-afa9-69de0df5a195,303,2022-08-15
east,東,ひがし,,東,NOUN,,,5,{LULI_KANJI_L01},{compass_direction},72e6a9e9-44f5-516c-9543-5c0754218c8e,304,2022-08-15
west,西,にし,,西,NOUN,,,5,{LULI_KANJI_L01},{compass_direction},f01992dc-39c8-5478-97f3-80052a1215f8,305,2022-08-15
tree; shrub; bush,木,き,,木,NOUN,,,5,"{LULI_KANJI_L01,GENKI3_L22}",,fbd9dcaa-2454-526e-b8a1-4b4e68fed07a,306,2022-08-15
rice field,田,た,,田,NOUN,,,3,{LULI_KANJI_L01},,5fbad03e-b5f7-51ea-998a-d8e68b87a332,307,2022-08-15
cherry tree; cherry blossom,桜,さくら,,桜,NOUN,,,3,{GENKI3_L18},,4769746e-d143-5e87-bfe8-841622ac2659,308,2022-08-31
want,欲しい,ほしい,,欲しい,ADJECTIVE,I_ADJECTIVE,,5,"{DUO_01_02,DUO_U01,GENKI3_L14}",,39007001-a5bd-5f32-b00a-41b88d6dcb04,309,2022-08-12
sweet,甘い,あまい,,甘い,ADJECTIVE,I_ADJECTIVE,,5,"{DUO_01_02,DUO_U01,GENKI3_L12}",{food},d296367e-4c7b-5675-9477-ef164a14186d,310,2022-08-12
dirty,汚い,きたない,,汚い,ADJECTIVE,I_ADJECTIVE,,5,"{DUO_01_02,DUO_U01,GENKI3_L16}",,a135ce08-66bb-5864-803a-134a43cd833b,311,2022-08-12
sushi,寿司,すし,,寿司,NOUN,,,,"{DUO_01_02,DUO_U01,GENKI3_L10}",{food},b0b557a1-615d-53a4-acdc-768151964aa5,312,2022-08-12
sashimi,刺身,さしみ,,刺身,NOUN,,,2,,{food},b39de966-5af7-5bec-a79b-2c72f8c7e4f9,313,2022-08-12
wasabi,わさび,わさび,,山葵,NOUN,,,,,{food},aea7b65d-8e51-5d8b-97f3-72b3c010afcb,314,2022-08-12
tuna; bluefin,マグロ,まぐろ,,,NOUN,,,,,{food},413b74af-f988-52c9-ad64-165507510443,315,2022-08-12
eel,うなぎ,うなぎ,,鰻,NOUN,,,,,"{animal,food}",70d02a0a-cd4d-5e2c-bb76-a042c9211b78,316,2022-08-12
ear,耳,みみ,,耳,NOUN,,,5,"{DUO_01_03,DUO_U02,LULI_KANJI_L01}",{body},fcb92bf6-7f59-59fd-863a-7aa2762f640d,317,2022-08-12
eye,目,め,,目,NOUN,,,5,"{DUO_01_03,DUO_U02,LULI_KANJI_L01,GENKI3_L07}",{body},08a92e33-466f-588d-b364-19981156b72f,318,2022-08-12
mouth,口,くち,,口,NOUN,,,5,"{LULI_KANJI_L01,GENKI3_L07}",{body},78b70b1a-bd80-521c-94a9-0dec45988921,319,2022-08-17
hand; arm,手,て,,手,NOUN,,,5,{LULI_KANJI_L01},{body},a3d9c5ec-a34a-5a91-b166-7291979bef67,320,2022-08-15
foot,足,あし,,足,NOUN,,,5,"{LULI_KANJI_L01,GENKI3_L12}",{body},b5407428-ff7a-5715-8283-de41ff4e555c,321,2022-08-15
back,背中,せなか,,背中,NOUN,,,4,"{DUO_01_03,DUO_U02}",{body},12773416-725b-57f8-b7cc-856c607390db,322,2022-08-12
cloudy,曇り,くもり,,曇り,NOUN,,,5,"{DUO_01_03,DUO_U02,GENKI3_L08}",{weather},83e6b487-2d55-5480-a55b-2a808a40a3f1,323,2022-08-12
