#columns: id,definition,preferred_spelling,phonetic_spelling,alt_spelling,word_class,conjugation_kind,jlpt_level,date_added,row_num,lessons,tags
8ff036c4-9800-49d5-906b-514520c78880,temple,お寺,おてら,,noun,,4,2022-08-10,339,GENKI3_L04,place noun genki3-l04
fe1b8cc3-30c4-49ce-90de-e60514fdf437,park,公園,こうえん,,noun,,5,2022-08-10,340,GENKI3_L04,place noun genki3-l04
1e29f308-89f0-4c1d-bef5-323b3fdb1ca7,supermarket,スーパー,すうぱあ,,noun,,,2022-08-10,341,GENKI3_L04,place noun genki3-l04
c406dd1a-75be-4283-97ee-5c7c31f904ed,bus stop,バス停,ばすてい,,noun,,,2022-08-10,342,GENKI3_L04,place noun genki3-l04
850f7735-fa14-49d2-9879-20d8a47dc0e8,hospital,病院,びょういん,,noun,,5,2022-08-10,343,GENKI3_L04,place noun genki3-l04
19bda9d8-1bbf-4d7b-8388-8375d9480918,hotel,ホテル,ほてる,,noun,,5,2022-08-10,344,GENKI3_L04,place noun genki3-l04
e0b533e8-f938-4c93-b5fc-cbf9a5efbc9c,bokkstore,本屋,ほんや,,noun,,,2022-08-10,345,GENKI3_L04,place noun genki3-l04
ddb16a7a-e9c0-4cce-ac65-ea78d074fce8,town; city,町,まち,,noun,,5,2022-08-10,346,GENKI3_L04,place noun genki3-l04
470f29e2-10f1-4d28-9d80-d40f15fc171a,restaurant,レストラン,れすとらん,,noun,,5,2022-08-10,347,GENKI3_L04,place noun genki3-l04
d5575534-34bf-41fc-a7df-2ed647e61a05,yesterday,昨日,きのう,,noun,,5,2022-08-10,348,GENKI3_L04,time noun genki3-l04
819a835d-a6be-4c08-a364-8907b1226bbf,...hours; time,〜時間,じかん,,noun,,5,2022-08-10,349,GENKI3_L04,time noun genki3-l04
30e8ffe0-74a6-411b-957d-5ee3277bd853,last week,先週,せんしゅう,,noun,,5,2022-08-10,350,GENKI3_L04,time noun genki3-l04
585f82ea-6a6a-4005-b3a6-ed57442a6ed9,when...; at the time of...,時,とき,,noun,,3,2022-08-10,351,GENKI3_L04,time noun genki3-l04
7e9e71f3-ca82-40b2-9190-e8df09a60b70,Monday,月曜日,げつようび,,noun,,5,2022-08-10,352,GENKI3_L04,time noun genki3-l04
a7f63c04-eeb1-4cc9-b9e7-93c5aef67195,Tuesday,火曜日,かようび,,noun,,5,2022-08-10,353,GENKI3_L04,time noun genki3-l04
b7290a17-b80a-4663-84b4-fb97c53ac10e,Wednesday,水曜日,すいようび,,noun,,5,2022-08-10,354,GENKI3_L04,time noun genki3-l04
29385baf-a573-49a4-b4b5-0119dae49df3,Thursday,木曜日,もくようび,,noun,,5,2022-08-10,355,GENKI3_L04,time noun genki3-l04
1ecc5944-6007-4a9f-8153-41e50842b67a,Friday,金曜日,きんようび,,noun,,5,2022-08-10,356,GENKI3_L04,time noun genki3-l04
8728a06a-1e5b-436b-939a-b1d96a7d9f79,there exists...,いる,いる,,verb,ichidan verb,5,2022-08-10,357,GENKI3_L04,to-be-verb verb ichidan-verb genki3-l04
a4025eed-7054-4b18-b8ce-c90bc7ed6b00,there is...,ある,ある,,verb,godan verb,5,2022-08-10,358,GENKI3_L04,to-be-verb verb godan-verb genki3-l04
a7c68ed2-5f08-4411-9030-42347f7d571f,to meet; to see a person,会う,あう,,verb,godan verb,5,2022-08-10,359,GENKI3_L04,verb godan-verb genki3-l04
1e617d48-2df2-4c74-b732-89783d176db9,to buy; to purchase,買う,かう,,verb,godan verb,5,2022-08-10,360,GENKI3_L04,verb godan-verb genki3-l04
1629794a-84d2-44f3-b05b-89bcb817152a,to write,書く,かく,,verb,godan verb,5,2022-08-10,361,GENKI3_L04,verb godan-verb genki3-l04
ab8ef931-7703-4d80-9272-bbc453f19b69,to take (a photograph),撮る,とる,,verb,godan verb,5,2022-08-10,362,GENKI3_L04,verb godan-verb genki3-l04
7e09edbb-c75f-4ee4-8006-89ac3deea1d0,to wait,待つ,まつ,,verb,godan verb,5,2022-08-10,363,GENKI3_L04,verb godan-verb genki3-l04
749a9435-10dc-4b02-b1dc-778f08e86258,to understand; to comprehend,わかる,わかる,分かる,verb,godan verb,5,2022-08-10,364,GENKI3_L04,verb godan-verb genki3-l04
b32131c2-4721-5e1c-ba58-e06896a83cf1,to know; to be aware of,知る,しる,,verb,godan verb,5,2022-09-08,365,GENKI3_L07,verb godan-verb genki3-l07
9fe24c28-0eae-4a2c-ad49-16f76680afec,about (approximate measurment),〜ぐらい,ぐらい,,suffix,,1,2022-08-10,366,GENKI3_L04,suffix genki3-l04
9ec6f020-0166-4d80-a938-070eeb78cc05,excuse me,すみません,すみません,,expression,,3,2022-08-10,367,,expression
7d011295-e767-462a-85a9-8f5fab4883b8,sorry,ごめん,ごめん,,interjection,,2,2022-08-10,368,,interjection
46ba5ddd-9d1f-4bc0-982e-a67e7bb4b307,I'm deeply sorry sorry,ごめんなさい,ごめんなさい,,expression,,3,2022-08-10,369,GENKI3_L04,expression genki3-l04
7ded3290-23fd-4091-83c5-560563afeed3,and then,それから,それから,,expression,,5,2022-08-10,370,GENKI3_L04,expression genki3-l04
3fd6bcdf-d9e5-4cc9-8aab-46e121e4c86a,so; therefore,だから,だから,,conjunction,,4,2022-08-10,371,GENKI3_L04,conjunction genki3-l04
10eece8b-4102-41c5-9532-e62246da60e2,many; a lot,たくさん,たくさん,沢山,noun,,5,2022-08-10,372,GENKI3_L04,noun genki3-l04
d097a029-96a6-4cfe-936e-9f815b368de3,together with (a person); and,〜と,と,,conjunction,,3,2022-08-10,373,GENKI3_L04,conjunction genki3-l04
f439afe8-6382-4017-b594-de82a2d090e6,why; how,どうして,どうして,,adverb,,5,2022-08-10,374,GENKI3_L04,adverb genki3-l04
0839c0a5-e217-465a-9b68-64994b80b119,alone,一人で,ひとりで,,expression,,,2022-08-10,375,GENKI3_L04,expression genki3-l04
82698354-a810-410e-a0c2-e2e9e391e7bc,hello? (phone),もしもし,もしもし,,expression,,,2022-08-10,376,GENKI3_L04,expression genki3-l04
83d209ab-6760-5b3f-945c-f82a55d9bcc1,right,右,みぎ,,noun,,5,2022-08-10,377,GENKI3_L04,location noun genki3-l04
92a12133-28d1-5327-b9b9-db5c7d58fcdb,left,左,ひだり,,noun,,5,2022-08-10,378,GENKI3_L04,location noun genki3-l04
8c4152ae-6000-57f5-8244-ac48a99f7e20,front,前,まえ,,noun,,5,2022-08-10,379,GENKI3_L04,location noun genki3-l04
5abdcbf7-54bd-541a-be8b-e2aac1a36bf2,back,後ろ,うしろ,,noun,,5,2022-08-10,380,GENKI3_L04,location noun genki3-l04
e37a40e2-6a4c-5046-9054-71bd174159cf,inside,中,なか,,noun,,5,2022-08-10,381,GENKI3_L04,location noun genki3-l04
b7339af2-316c-551b-a5da-cb03d2ef2392,on,上,うえ,,noun,,5,2022-08-10,382,GENKI3_L04,location noun genki3-l04
658ee639-0bc6-5cd5-8342-15f7698bf75d,under,下,した,,noun,,5,2022-08-10,383,GENKI3_L04,location noun genki3-l04
f8bbf752-a05d-542c-99ad-1b59fec7e4a6,near; nearby,近く,しかく,,noun,,5,2022-08-10,384,GENKI3_L04,location noun genki3-l04
9c00bb62-e821-5702-ad5d-20d324fdb688,next,隣,となり,,noun,,5,2022-08-10,385,GENKI3_L04,location noun genki3-l04
5d31fe9a-a3d5-548d-b92c-323392afbb5f,between,間,あいだ,,noun,,5,2022-08-10,386,GENKI3_L04,location noun genki3-l04
e48fb32f-70db-56b6-9be3-882d953469c5,senior colleague,先輩,せんぱい,,noun,,4,2022-09-14,387,,noun
576386e2-9779-5938-9822-1c1013726a52,junior colleague,後輩,こうはい,,noun,,2,2022-09-14,388,,noun
c4fe5291-83a0-5e58-9791-744a785a3d9a,rice cracker,煎餅,せんべい,,noun,,,2022-08-12,389,,food noun
e182997f-4799-5c3c-a985-ed126db9687e,cake,ケーキ,ケえき,,noun,,4,2022-08-12,390,,food noun
676d3eb5-4992-5047-ad16-142df7b8ec38,rice ball,お握り,おにぎり,,noun,,,2022-08-12,391,,food noun
cd548aa6-54f8-5f0a-b55f-c0fcf26dbc2a,salt,塩,しお,,noun,,5,2022-08-12,392,,food noun
f9253f00-8203-5dc9-89f5-a39b4d3d9d55,chopsticks,箸,はし,,noun,,5,2022-08-20,393,,food kitchen noun
ca8b76ff-0345-5367-855a-fd69329898a6,(some) more; longer; further,もっと,もっと,,adverb,,5,2022-08-12,394,,adverb
fa69ee4d-ab8a-5daf-8701-abab724eaade,geek; nerd,オタク,おたく,,noun,,,2022-08-12,395,,slang noun
3953151e-3280-5665-8c64-1bfabbedcdd2,hot water; hot bath; hot spring,湯,ゆ,,noun,,4,2022-08-12,396,,noun
8c842dec-6e97-54b7-ad74-2408c4b88677,hot spring,温泉,おんせん,,noun,,2,2022-08-12,397,,noun
